pred_answers,gold_answers
A,D
A,C
R,A
e,C
B,C
C,B
1,B
A,B
A,B
B,A
A,C
e,B
A,D
B,C
A,C
B,D
C,C
B,D
C,C
C,A
D,B
B,C
C,A
A,B
C,C
d,C
>,A
e,D
A,D
C,A
B,B
A,C
A,B
B,B
d,D
A,A
t,C
 ,D
A,C
e,B
A,C
A,D
r,A
Q,D
B,B
A,C
C,A
C,D
C,C
C,B
B,A
A,A
C,B
A,A
 ,C
C,B
C,C
B,A
B,A
A,B
B,B
D,C
C,A
A,C
 ,B
 ,D
C,A
b,A
A,B
B,A
A,C
A,A
A,A
R,C
o,D
D,B
A,A
C,D
A,B
T,C
A,D
B,D
B,B
C,C
C,D
A,C
C,A
1,D
 ,C
A,A
B,C
B,B
A,A
B,D
B,C
A,A
#,B
A,A
u,D
t,C
A,A
 ,C
B,A
A,B
(,D
A,D
C,B
B,A
C,A
B,C
B,A
r,D
e,B
B,B
C,B
B,A
C,C
A,B
D,D
B,C
B,A
B,A
B,A
A,A
 ,C
A,D
A,A
B,A
#,D
r,C
R,B
a,C
C,A
C,D
C,B
N,C
C,D
n,B
B,A
B,C
C,A
 ,D
C,B
1,B
C,C
E,A
t,D
C,B
#,C
A,B
e,C
 ,A
B,C
$,A
A,D
d,A
A,B
B,C
D,B
B,B
C,C
A,A
 ,A
#,B
B,A
A,B
B,D
A,A
 ,A
C,C
B,C
B,B
A,B
C,C
 ,C
B,C
C,B
1,C
A,B
C,C
B,B
B,C
r,A
A,A
A,B
D,D
B,A
A,D
C,A
B,C
e,D
C,C
A,C
A,D
�,A
 ,A
e,A
C,D
A,D
A,D
B,D
B,C
C,D
A,D
A,D
C,A
B,B
C,D
 ,D
B,B
"
",C
B,D
A,D
C,C
B,B
T,B
C,B
d,A
B,C
B,C
B,C
A,B
D,C
C,D
C,C
1,A
C,C
B,C
n,C
C,D
A,D
A,A
B,C
A,B
A,D
B,B
A,A
e,C
#,D
#,A
l,B
T,B
B,C
 ,D
 ,D
C,D
#,D
A,B
C,C
C,D
A,D
A,A
B,C
B,D
e,B
A,A
 ,D
C,D
B,A
A,D
C,A
C,A
C,C
C,B
d,D
A,D
A,D
 ,B
C,A
s,D
 ,D
A,B
n,B
C,D
C,C
B,A
B,C
C,D
A,B
C,A
C,D
C,C
 ,A
A,C
C,A
C,D
t,A
A,B
C,C
A,C
Q,D
C,B
C,C
A,D
C,B
E,A
B,D
B,B
 ,C
B,B
B,A
 ,D
l,D
A,C
A,C
B,B
/,B
A,B
B,C
A,A
B,D
A,B
A,D
 ,C
$,C
d,B
B,B
A,C
C,D
C,B
B,D
A,A
C,B
e,D
e,A
B,A
B,B
 ,A
A,D
A,A
A,B
C,A
A,A
u,B
B,B
C,C
B,A
B,C
C,D
B,B
A,D
D,D
T,B
E,C
A,B
n,A
C,D
E,A
A,A
A,C
B,D
D,A
A,D
C,D
A,B
A,A
C,B
B,B
C,C
C,B
 ,C
C,D
A,D
C,B
 ,D
E,D
 ,C
A,C
C,A
f,B
A,B
A,A
A,C
C,A
C,A
A,C
T,B
A,C
B,C
A,D
C,C
"
",D
C,C
C,A
 ,D
C,A
A,B
D,D
A,A
C,A
#,C
A,C
C,D
A,B
B,B
W,A
 ,C
B,A
B,D
B,A
A,B
C,A
C,C
B,A
B,A
B,A
B,A
C,A
C,A
C,A
D,D
e,B
 ,A
